label,message
1,"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 Â£3/wk"
0,Armand says get your ass over to epsilon
0,Lol now I'm after that hot air balloon!
0,"You know, wot people wear. T shirts, jumpers, hat, belt, is all we know. We r at Cribbs"
0,"Good morning, my Love ... I go to sleep now and wish you a great day full of feeling better and opportunity ... You are my last thought babe, I LOVE YOU *kiss*"
1,UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise ofÂ£2000 CASH 18+only. To opt out txt X to 07786200117
0,Sorry . I will be able to get to you. See you in the morning.
0,"Sorry, I'll call later"
0,I AM AT A PARTY WITH ALEX NICHOLS
0,Crazy ar he's married. Ã like gd looking guys not me. My frens like say he's korean leona's fave but i dun thk he is. Aft some thinking mayb most prob i'll go.
0,Were somewhere on Fredericksburg
0,It has issues right now. Ill fix for her by tomorrow.
0,Wah lucky man... Then can save money... Hee...
0,somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite &amp; sweet dreams
0,Yes when is the appt again?
0,Tmr timin still da same wat cos i got lesson until 6...
0,Are there TA jobs available? Let me know please cos i really need to start working
1,Refused a loan? Secured or Unsecured? Can't get credit? Call free now 0800 195 6669 or text back 'help' & we will!
1,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901
0,Ugh fuck it I'm resubbing to eve
0,I anything lor...
1,"Congratulations - Thanks to a good friend U have WON the Â£2,000 Xmas prize. 2 claim is easy, just call 08712103738 NOW! Only 10p per minute. BT-national-rate"
0,Where are you?when wil you reach here?
0,* Was thinking about chuckin ur red green n black trainners 2 save carryin them bac on train
0,Ha... Both of us doing e same thing. But i got tv 2 watch. U can thk of where 2 go tonight or u already haf smth in mind...
0,Still chance there. If you search hard you will get it..let have a try :)
1,"Shop till u Drop, IS IT YOU, either 10K, 5K, Â£500 Cash or Â£100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary"
0,Yup but not studying surfing lor. I'm in e lazy mode today.
0,The guy did some bitching but I acted like i'd be interested in buying something else next week and he gave it to us for free
0,No..but heard abt tat..
0,Oh gei. That happend to me in tron. Maybe ill dl it in 3d when its out
0,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng
0,We not leaving yet. Ok lor then we go elsewhere n eat. U thk...
0,"Camera quite good, 10.1mega pixels, 3optical and 5digital dooms. Have a lovely holiday, be safe and i hope you hav a good journey! Happy new year to you both! See you in a couple of weeks!"
0,"Love isn't a decision, it's a feeling. If we could decide who to love, then, life would be much simpler, but then less magical"
0,Ya but it cant display internal subs so i gotta extract them
0,"No dice, art class 6 thru 9 :( thanks though. Any idea what time I should come tomorrow?"
0,Same to u...
0,Well then you have a great weekend!
0,So how many days since then?
0,Is there any training tomorrow?
0,Happy new years melody!
0,Great! I have to run now so ttyl!
0,"Yep, at derek's house now, see you Sunday &lt;3"
